year;Provider;Grant Name;Project;Role;value
2024;"European Commision 
Horizon Program";CERV-2023-CITIZENS-REM - European Remembrance Grant Agreeement: 101143807;Audio Visuals and Languages Analysis Network for Cultural Heritage in Europe - Avalanche of Democracy;"CO
INVESTIGATOR";240750
2023;Fondation Science du Patrimoine;Call for Proposals for Postdoctoral Funding;Sur le front (de) la justice. Une lecture numérique de la justice militaire pendant la Première Guerre Mondiale;P.I.;50000
